epoch,train_loss,train_acc,val_loss,val_acc
1,1.7541641417003813,0.3672619047619048,1.2890899249485561,0.6375
2,0.9026748498280843,0.7089285714285715,0.4818579409803663,0.9053571428571429
3,0.3855093558629354,0.9023809523809524,0.19243072654519763,0.9482142857142857
4,0.20773312605562663,0.9470238095238095,0.1370045991880553,0.9607142857142857
5,0.14317836605367207,0.969047619047619,0.11272611362593514,0.9696428571428571
6,0.09704309538716362,0.9755952380952381,0.09035425697054182,0.9714285714285714
7,0.09231924563646317,0.9732142857142857,0.181251451585974,0.9303571428571429
8,0.09857963224252066,0.969047619047619,0.05144165003938334,0.9892857142857143
9,0.06312014902276653,0.9839285714285714,0.05843585612518447,0.9732142857142857
10,0.045149783328885126,0.9916666666666667,0.06504003114200065,0.9785714285714285
11,0.025217978540985356,0.9952380952380953,0.057907674009246485,0.9821428571428571
12,0.061344639495724725,0.981547619047619,0.06474000327289105,0.9785714285714285
13,0.028442625142633914,0.9952380952380953,0.028161929920315742,0.9875
14,0.01660220352932811,0.9958333333333333,0.024514098252568926,0.9892857142857143
15,0.03113591355227289,0.9910714285714286,0.036083637896393024,0.9892857142857143
16,0.04649011058998959,0.9863095238095239,0.038149341382086276,0.9910714285714286
17,0.020379741516496453,0.9952380952380953,0.049818176689690775,0.9839285714285714
18,0.05245238722168973,0.9827380952380952,0.11458899469247887,0.9714285714285714
19,0.03480818793177605,0.993452380952381,0.04883907020225057,0.9892857142857143
20,0.022877847576247796,0.9952380952380953,0.054507278744131325,0.9857142857142858
