epoch,train_loss,train_acc,val_loss,val_acc
1,1.72498079481579,31.071428571428573,1.5196735518319267,49.107142857142854
2,1.4285178332101731,48.154761904761905,1.270661803654262,59.82142857142857
3,1.2306869364920117,58.03571428571429,1.0720728073801313,66.42857142857143
4,1.045702816758837,64.04761904761904,0.9209426590374538,71.42857142857143
5,0.9128054363386972,70.23809523809523,0.753592528615679,78.57142857142857
6,0.8021842780567351,71.96428571428571,0.6950148735727583,76.07142857142857
7,0.7338102357728141,74.70238095238095,0.5865390913827079,84.64285714285714
8,0.6434855138971692,78.98809523809524,0.5728164136409759,80.71428571428572
9,0.6254078657854171,79.22619047619047,0.4851376065186092,85.71428571428571
10,0.5706037884666806,80.35714285714286,0.4700065055063793,86.07142857142858
