epoch,train_loss,train_acc,dev_acc
1,1.836130076641101,23.473684210526315,33.45356176735798
2,1.607094204117807,35.33971291866029,36.51938683498647
3,1.4387168986261176,39.90430622009569,36.339044183949504
4,1.289656377066836,43.81818181818182,34.71596032461677
5,1.1573860052555942,47.41626794258374,36.78990081154193
6,1.0236015959333575,52.220095693779896,35.527502254283135
7,0.8977036560095099,56.1244019138756,37.69161406672678
8,0.7958791795643894,60.0956937799043,35.34715960324617
9,0.7237127101478394,62.95693779904307,39.31469792605951
10,0.6416196169921656,66.6602870813397,35.978358881875565
11,0.5837078678265714,69.16746411483253,39.49504057709648
12,0.530633826210168,71.63636363636363,39.31469792605951
13,0.4964060241839532,73.12918660287082,39.13435527502254
14,0.4668587388262224,74.95693779904306,40.5770964833183
15,0.43557846698464386,76.88038277511961,40.396753832281334
16,0.4108853971102591,77.32057416267942,40.75743913435528
17,0.4008777245037864,78.37320574162679,40.84761045987376
18,0.39064858967607674,78.4688995215311,40.93778178539225
19,0.3818147521041797,79.13875598086125,40.48692515779982
20,0.3819213025706807,79.64593301435407,41.02795311091073
